parent_experiment_id,model_key,task,text_source,subset_name,n,unstable_small_n,primary_metric,observed_primary_score,all_articles_primary_score,observed_minus_all,n_predicted_ok,n_parse_error,coverage,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,exact_match_accuracy,micro_precision,micro_recall,micro_f1,jaccard,hamming_loss,majority_accuracy,majority_balanced_accuracy,majority_macro_f1,delta_vs_majority_balanced_accuracy,majority_labelset_exact_match_accuracy,empty_set_exact_match_accuracy
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,content,all,1251,False,balanced_accuracy,0.2807090377684438,0.2807090377684438,0.0,1251,0,1.0,0.293365307753797,0.2807090377684438,0.3095368790448141,0.2807090377684438,0.2698563934949214,0.3393639725666649,,,,,,,0.37889688249400477,0.1111111111111111,0.061062801932367156,0.1695979266573327,,
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,content,point_label_share_250m_ge_0.8,646,False,balanced_accuracy,0.3517535687906058,0.2807090377684438,0.07104453102216202,646,0,1.0,0.3498452012383901,0.3517535687906058,0.3180788996397591,0.3517535687906058,0.28500865455529284,0.4164297575360577,,,,,,,0.5015479876160991,0.1111111111111111,0.07422680412371134,0.24064245767949471,,
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,content,point_label_share_500m_ge_0.8,419,False,balanced_accuracy,0.3016939787187016,0.2807090377684438,0.020984940950257824,419,0,1.0,0.3341288782816229,0.3016939787187016,0.28861612345878407,0.3016939787187016,0.2134537651030391,0.4451215929099003,,,,,,,0.6587112171837709,0.1111111111111111,0.08824940047961631,0.19058286760759052,,
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,content,point_label_share_250m_ge_0.9,518,False,balanced_accuracy,0.3537761798778748,0.2807090377684438,0.073067142109431,518,0,1.0,0.35135135135135137,0.3537761798778748,0.3132175114714797,0.3537761798778748,0.2701368826661019,0.43403962197791085,,,,,,,0.5694980694980695,0.1111111111111111,0.08063413967473008,0.2426650687667637,,
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,content,dominant_matches_point_label_250m,1082,False,balanced_accuracy,0.2973497291962921,0.2807090377684438,0.016640691427848298,1082,0,1.0,0.30591497227356745,0.2973497291962921,0.31094178119781274,0.2973497291962921,0.27526416091647565,0.3550039113142674,,,,,,,0.40942698706099817,0.1111111111111111,0.06455373406193078,0.186238618085181,,
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,content,dominant_matches_point_label_500m,968,False,balanced_accuracy,0.3145316345574592,0.2807090377684438,0.03382259678901539,968,0,1.0,0.30991735537190085,0.3145316345574592,0.3047356772970857,0.3145316345574592,0.2633372096472044,0.3724593625303658,,,,,,,0.4524793388429752,0.1111111111111111,0.06922712185870081,0.2034205234463481,,
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,content,relevance_medium_high,576,False,balanced_accuracy,0.37354263963873396,0.2807090377684438,0.09283360187029016,576,0,1.0,0.46875,0.37354263963873396,0.360285395823351,0.37354263963873396,0.34605147861591934,0.4948015919703966,,,,,,,0.4392361111111111,0.1111111111111111,0.06781932716793995,0.26243152852762286,,
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,content,relevance_high,296,False,balanced_accuracy,0.3900911467632824,0.2807090377684438,0.10938210899483858,296,0,1.0,0.5641891891891891,0.3900911467632824,0.3870766196386811,0.3900911467632824,0.3564890859627702,0.5489040167987537,,,,,,,0.30743243243243246,0.1111111111111111,0.05225380419178868,0.2789800356521713,,
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,content,evidence_sentences_count_ge_1,808,False,balanced_accuracy,0.3280728850121935,0.2807090377684438,0.0473638472437497,808,0,1.0,0.3712871287128713,0.3280728850121935,0.33047710121341534,0.3280728850121935,0.3042721340844832,0.41707048713209804,,,,,,,0.46163366336633666,0.1111111111111111,0.07018534198889831,0.2169617739010824,,
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,content,evidence_sentences_count_ge_2,780,False,balanced_accuracy,0.33059133477169567,0.2807090377684438,0.04988229700325186,780,0,1.0,0.38076923076923075,0.33059133477169567,0.3318603199785452,0.33059133477169567,0.30758887926356004,0.4259544778112071,,,,,,,0.46153846153846156,0.1111111111111111,0.07017543859649122,0.21948022366058456,,
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,content,uncertainty_low,653,False,balanced_accuracy,0.35681004190271953,0.2807090377684438,0.07610100413427573,653,0,1.0,0.42879019908116384,0.35681004190271953,0.35052701226873456,0.35681004190271953,0.3294961588159607,0.4659170864713627,,,,,,,0.450229709035222,0.1111111111111111,0.06898979232664554,0.24569893079160843,,
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,content,uncertainty_low_medium,805,False,balanced_accuracy,0.3274754179893018,0.2807090377684438,0.046766380220857995,805,0,1.0,0.37142857142857144,0.3274754179893018,0.3295545669575477,0.3274754179893018,0.3035845458083352,0.41689333839976933,,,,,,,0.4608695652173913,0.1111111111111111,0.0701058201058201,0.2163643068781907,,
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,content,relevance_medium_high_and_spatial_250m_ge_0.8,321,False,balanced_accuracy,0.4091486144430261,0.2807090377684438,0.12843957667458228,321,0,1.0,0.5700934579439252,0.4091486144430261,0.3808608262078895,0.4091486144430261,0.36255271060337096,0.6244866181075286,,,,,,,0.5825545171339563,0.1111111111111111,0.08180227471566054,0.298037503331915,,
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,content,relevance_high_and_spatial_250m_ge_0.8,157,False,balanced_accuracy,0.4355209605209605,0.2807090377684438,0.1548119227525167,157,0,1.0,0.7070063694267515,0.4355209605209605,0.4006652327407044,0.4355209605209605,0.39672947316625473,0.711473826463943,,,,,,,0.4140127388535032,0.1111111111111111,0.06506506506506507,0.3244098494098494,,
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,content,evidence_sentences_count_ge_1_and_spatial_250m_ge_0.8,437,False,balanced_accuracy,0.3880568126469766,0.2807090377684438,0.10734777487853281,437,0,1.0,0.448512585812357,0.3880568126469766,0.3460136742869191,0.3880568126469766,0.3208954065085364,0.5197017257686334,,,,,,,0.6247139588100686,0.1111111111111111,0.08544600938967135,0.2769457015358655,,
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,content,quality_high_or_very_high,662,False,balanced_accuracy,0.358591807849484,0.2807090377684438,0.07788277008104022,662,0,1.0,0.4259818731117825,0.358591807849484,0.34535587590150246,0.358591807849484,0.33015192872977006,0.4651922781143834,,,,,,,0.4788519637462236,0.1111111111111111,0.07195551015775735,0.24748069673837292,,
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,content,quality_very_high,367,False,balanced_accuracy,0.3936791442388457,0.2807090377684438,0.1129701064704019,367,0,1.0,0.5040871934604905,0.3936791442388457,0.36672528292444145,0.3936791442388457,0.3515453508411255,0.5142257749925554,,,,,,,0.4250681198910082,0.1111111111111111,0.06628425748884641,0.2825680331277346,,
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,content,quality_high_or_very_high_and_spatial_250m_ge_0.8,388,False,balanced_accuracy,0.3935438299074663,0.2807090377684438,0.11283479213902248,388,0,1.0,0.4896907216494845,0.3935438299074663,0.3510146956480007,0.3935438299074663,0.3323370121859561,0.55864610418117,,,,,,,0.6237113402061856,0.1111111111111111,0.0853615520282187,0.2824327187963552,,
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,content,recommended_use_training,195,False,balanced_accuracy,0.3849030746215569,0.2807090377684438,0.10419403685311307,195,0,1.0,0.46153846153846156,0.3849030746215569,0.3475986975986976,0.3849030746215569,0.32109225176449846,0.5355541428664319,,,,,,,0.6615384615384615,0.1111111111111111,0.08847736625514403,0.27379196351044577,,
