parent_experiment_id,model_key,task,text_source,subset_name,control_type,status,n,unstable_small_n,primary_metric,observed_score,random_mean,random_std,random_min,random_max,random_p02_5,random_p50,random_p97_5,observed_minus_random_mean,observed_percentile,empirical_p_greater_equal,n_draws_requested,n_draws_successful
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,content,all,random_same_n,ok,1251,False,balanced_accuracy,0.2807090377684438,0.28070903776844386,0.0,0.28070903776844386,0.28070903776844386,0.28070903776844386,0.28070903776844386,0.28070903776844386,-5.551115123125783e-17,100.0,1.0,1000,1000
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,content,point_label_share_250m_ge_0.8,random_same_n,ok,646,False,balanced_accuracy,0.3517535687906058,0.2812213467778222,0.01298186742015859,0.23267253576883468,0.31952814372403154,0.25428779866825785,0.28177997516171627,0.305490964612154,0.07053222201278364,100.0,0.000999000999000999,1000,1000
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,content,point_label_share_500m_ge_0.8,random_same_n,ok,419,False,balanced_accuracy,0.3016939787187016,0.280500542967695,0.018852789960371725,0.2081916430959663,0.34724284030479335,0.24350749408129593,0.2808338820702752,0.3170780013917202,0.02119343575100663,87.4,0.12687312687312688,1000,1000
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,content,point_label_share_250m_ge_0.9,random_same_n,ok,518,False,balanced_accuracy,0.3537761798778748,0.28071561237771825,0.015121955113724734,0.2324834828983499,0.3230099181280973,0.251613553269973,0.28034353109321,0.3107372157733093,0.07306056750015655,100.0,0.000999000999000999,1000,1000
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,content,dominant_matches_point_label_250m,random_same_n,ok,1082,False,balanced_accuracy,0.2973497291962921,0.2807508473688777,0.0051109471727345925,0.26404019653525757,0.2971911674054832,0.270768396390545,0.2806426988735937,0.29088806880986096,0.016598881827414425,100.0,0.000999000999000999,1000,1000
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,content,dominant_matches_point_label_500m,random_same_n,ok,968,False,balanced_accuracy,0.3145316345574592,0.2807124083524155,0.007377672595529281,0.2585611001586332,0.3043483017721228,0.2658449822760843,0.28077057761561575,0.2944690067757951,0.033819226205043684,100.0,0.000999000999000999,1000,1000
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,content,relevance_medium_high,random_same_n,ok,576,False,balanced_accuracy,0.37354263963873396,0.2800816045835682,0.013942409044560657,0.23099786910404094,0.32751939314439316,0.25308136979860835,0.2798279275658905,0.3069729090564744,0.09346103505516579,100.0,0.000999000999000999,1000,1000
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,content,relevance_high,random_same_n,ok,296,False,balanced_accuracy,0.3900911467632824,0.2804826424981438,0.024563313345395636,0.19030501089324617,0.35731263178071687,0.23115865447628076,0.2801001730903095,0.3281393405543732,0.10960850426513857,100.0,0.000999000999000999,1000,1000
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,content,evidence_sentences_count_ge_1,random_same_n,ok,808,False,balanced_accuracy,0.3280728850121935,0.2806645616844887,0.009566728933572046,0.2540782528821414,0.3114759705498122,0.26138193603755894,0.2807705200093371,0.29983200483538114,0.04740832332770478,100.0,0.000999000999000999,1000,1000
article_text_classification_e2e_with_shuffled_control_v1,qwen,corine_level2,content,evidence_sentences_count_ge_2,random_same_n,ok,780,False,balanced_accuracy,0.33059133477169567,0.28095527456274455,0.009916257303340928,0.24552429693558775,0.31105679256103014,0.26125055786308526,0.2808835771105326,0.29929124290693765,0.049636060208951116,100.0,0.000999000999000999,1000,1000
