conclusion_flag,model_key,n,observed_exact_match_accuracy,observed_score,parent_experiment_id,primary_metric,random_same_n_95_interval,random_same_n_mean,random_same_n_percentile,random_target_matched_95_interval,random_target_matched_mean,random_target_matched_percentile,subset_name,task,text_source,unstable_small_n
not_distinguishable,qwen,67,0.22388059701492538,0.24751243781094526,article_text_classification_e2e_with_shuffled_control_v1,jaccard,"[0.1169, 0.2674]",0.19095273631840798,93.2,"[0.1231, 0.2475]",0.1842873134328358,97.5,recommended_use_training,osm,content,False
beats_same_n,qwen,25,0.36,0.4066666666666666,article_text_classification_e2e_with_shuffled_control_v1,jaccard,"[0.0600, 0.3333]",0.18836666666666668,99.7,"[0.2500, 0.4667]",0.3530233333333333,82.8,recommended_use_evaluation_only,osm,content,True
not_distinguishable,qwen,160,0.19375,0.2125,article_text_classification_e2e_with_shuffled_control_v1,jaccard,"[0.1406, 0.2157]",0.17952812499999998,96.39999999999999,"[0.1688, 0.2250]",0.19786250000000002,88.8,point_label_share_250m_ge_0.8,osm,summary_no_place,False
beats_same_n,qwen,153,0.20261437908496732,0.22549019607843138,article_text_classification_e2e_with_shuffled_control_v1,jaccard,"[0.1405, 0.2190]",0.18052287581699347,99.3,"[0.1765, 0.2386]",0.20876797385620918,86.5,relevance_medium_high,osm,summary_no_place,False
beats_same_n,qwen,92,0.22826086956521738,0.2554347826086957,article_text_classification_e2e_with_shuffled_control_v1,jaccard,"[0.1250, 0.2446]",0.1817717391304348,99.5,"[0.1739, 0.2772]",0.22775,88.6,relevance_medium_high_and_spatial_250m_ge_0.8,osm,summary_no_place,False
beats_same_n,qwen,110,0.21818181818181817,0.24545454545454545,article_text_classification_e2e_with_shuffled_control_v1,jaccard,"[0.1273, 0.2364]",0.1806590909090909,98.7,"[0.1773, 0.2682]",0.22170909090909088,87.7,quality_high_or_very_high_and_spatial_250m_ge_0.8,osm,summary_no_place,False
not_distinguishable,qwen,67,0.16417910447761194,0.1865671641791045,article_text_classification_e2e_with_shuffled_control_v1,jaccard,"[0.1043, 0.2614]",0.1795820895522388,62.4,"[0.1194, 0.2537]",0.18923880597014922,49.0,recommended_use_training,osm,summary_no_place,False
beats_same_n,qwen,25,0.4,0.44,article_text_classification_e2e_with_shuffled_control_v1,jaccard,"[0.0400, 0.3205]",0.17928000000000002,99.9,"[0.2200, 0.4600]",0.329,97.0,recommended_use_evaluation_only,osm,summary_no_place,True
beats_target_matched,gemma,646,,0.3258865825532492,article_text_classification_e2e_with_shuffled_control_v1__gemma4_31b_it_q4_0,balanced_accuracy,"[0.2495, 0.2931]",0.27098836723585223,100.0,"[0.2413, 0.3037]",0.2711844919278253,100.0,point_label_share_250m_ge_0.8,corine_level2,content,False
beats_target_matched,gemma,576,,0.3521255102003233,article_text_classification_e2e_with_shuffled_control_v1__gemma4_31b_it_q4_0,balanced_accuracy,"[0.2456, 0.2943]",0.27098804319787156,100.0,"[0.2506, 0.2915]",0.2711175511121834,100.0,relevance_medium_high,corine_level2,content,False
